Seq Accuracy: 1.7011253598534415, Loss: 4.273336961865425
Seq Accuracy: 34.93849777545145, Loss: 3.5974362194538116
Seq Accuracy: 35.98534415074588, Loss: 3.5807342022657394
Seq Accuracy: 36.194713425804764, Loss: 3.576394405961037
Seq Accuracy: 36.351740382098924, Loss: 3.572615996003151
Seq Accuracy: 36.50876733839309, Loss: 3.5696220308542252
Seq Accuracy: 36.69196545406962, Loss: 3.5671879291534423
Seq Accuracy: 36.92750588851086, Loss: 3.562703475356102

Seq Accuracy: 1.4132426066474746, Loss: 4.314690807461739
Seq Accuracy: 1.8319811567652446, Loss: 4.2497671157121655
Seq Accuracy: 3.0620256477361947, Loss: 4.182240873575211
Seq Accuracy: 3.611619994765768, Loss: 4.151965567469597
Seq Accuracy: 4.213556660560063, Loss: 4.122763052582741
Seq Accuracy: 5.1818895577074064, Loss: 4.0940237760543825
Seq Accuracy: 6.254907092384193, Loss: 4.066312825679779
Seq Accuracy: 7.301753467678618, Loss: 4.037949052453041
Seq Accuracy: 8.793509552473175, Loss: 4.01117912530899
Seq Accuracy: 10.075896362208846, Loss: 3.987191450595856
Seq Accuracy: 11.227427375032715, Loss: 3.9630081981420515
Seq Accuracy: 12.771525778591991, Loss: 3.939801299571991
Seq Accuracy: 14.394137660298352, Loss: 3.919541469216347
Seq Accuracy: 15.938236063857628, Loss: 3.8991213887929916
Seq Accuracy: 17.2206228735933, Loss: 3.8781867891550066
Seq Accuracy: 18.921748233446742, Loss: 3.8601378947496414
Seq Accuracy: 20.413504318241298, Loss: 3.840349644422531
Seq Accuracy: 22.323998953153623, Loss: 3.822799155116081
Seq Accuracy: 23.632556922271657, Loss: 3.806152382493019
Seq Accuracy: 25.04579952891913, Loss: 3.7900035291910172
Seq Accuracy: 26.27584401989008, Loss: 3.7745657861232758
Seq Accuracy: 27.218005757655064, Loss: 3.7589389741420747
Seq Accuracy: 28.552734886155456, Loss: 3.7458300977945327
Seq Accuracy: 29.41638314577336, Loss: 3.7320492058992385
Seq Accuracy: 30.30620256477362, Loss: 3.7198612123727797
Seq Accuracy: 31.14367966500916, Loss: 3.7078876912593843
Seq Accuracy: 31.9811567652447, Loss: 3.6967395931482314
Seq Accuracy: 32.583093431038996, Loss: 3.6865974396467207
Seq Accuracy: 33.420570531274535, Loss: 3.6765682280063627
Seq Accuracy: 34.04867835645119, Loss: 3.6666987597942353
Seq Accuracy: 34.38890342842188, Loss: 3.658088931441307
Seq Accuracy: 36.09002878827532, Loss: 3.634532070159912
Seq Accuracy: 36.53493849777545, Loss: 3.628284138441086
Seq Accuracy: 37.21538864171683, Loss: 3.6172660291194916
Seq Accuracy: 37.66029835121696, Loss: 3.6078696131706236
Seq Accuracy: 37.895838785658206, Loss: 3.603891509771347
Seq Accuracy: 38.05286574195237, Loss: 3.6005577027797697

Seq Accuracy: 1.6226118817063595, Loss: 4.270511251688004
Seq Accuracy: 2.1983773881182938, Loss: 4.204671612381935
Seq Accuracy: 3.0096833289714735, Loss: 4.136448055505753
Seq Accuracy: 3.7424757916775713, Loss: 4.105491116642952
Seq Accuracy: 4.658466370060194, Loss: 4.075351968407631
Seq Accuracy: 5.862339701648783, Loss: 4.046361601352691
Seq Accuracy: 7.118555352002094, Loss: 4.018991154432297
Seq Accuracy: 9.05522114629678, Loss: 3.9912536799907685
Seq Accuracy: 10.808688824914944, Loss: 3.964503651857376
Seq Accuracy: 12.823868097356712, Loss: 3.94034258723259
Seq Accuracy: 14.158597225857106, Loss: 3.9162826001644135
Seq Accuracy: 15.885893745092908, Loss: 3.892942962050438
Seq Accuracy: 17.037424757916774, Loss: 3.872383338212967
Seq Accuracy: 18.45066736456425, Loss: 3.8516982704401017
Seq Accuracy: 19.890081130594087, Loss: 3.8310537099838258
Seq Accuracy: 21.30332373724156, Loss: 3.8126400887966154
Seq Accuracy: 22.350170112535984, Loss: 3.792277318239212
Seq Accuracy: 23.815755037948183, Loss: 3.7744873404502868
Seq Accuracy: 25.30751112274274, Loss: 3.757545378804207
Seq Accuracy: 26.694582570007853, Loss: 3.7414834409952165
Seq Accuracy: 27.898455901596442, Loss: 3.7256981283426285
Seq Accuracy: 29.18084271133211, Loss: 3.7099404871463775
Seq Accuracy: 30.096833289714734, Loss: 3.6965320974588396
Seq Accuracy: 30.908139230567915, Loss: 3.6824157655239107
Seq Accuracy: 31.61476053389165, Loss: 3.6700140982866287
Seq Accuracy: 32.530751112274274, Loss: 3.6577397346496583
Seq Accuracy: 33.44674169065689, Loss: 3.6463484525680543
Seq Accuracy: 34.153362993980636, Loss: 3.6359370410442353
Seq Accuracy: 35.357236325569225, Loss: 3.615625983476639
Seq Accuracy: 35.880659513216436, Loss: 3.6068332344293594
Seq Accuracy: 36.66579429468725, Loss: 3.591464304924011
Seq Accuracy: 37.13687516356975, Loss: 3.5846196949481963
Seq Accuracy: 37.686469510599316, Loss: 3.572276881337166
Seq Accuracy: 38.23606385762889, Loss: 3.5572274923324585
Seq Accuracy: 38.68097356712902, Loss: 3.5505258560180666
Seq Accuracy: 38.86417168280555, Loss: 3.5479095041751862

Seq Accuracy: 3.5854488353834073, Loss: 4.275821977853775
Seq Accuracy: 4.7108086888249145, Loss: 4.214741915464401
Seq Accuracy: 5.234231876472128, Loss: 4.181479260325432
Seq Accuracy: 6.097880136090029, Loss: 4.149932533502579
Seq Accuracy: 6.725987961266684, Loss: 4.121531048417092
Seq Accuracy: 7.746663177178749, Loss: 4.092994686961174
Seq Accuracy: 8.636482596179011, Loss: 4.065858474373817
Seq Accuracy: 9.657157812091075, Loss: 4.039925780892372
Seq Accuracy: 10.834859984297305, Loss: 4.0131354331970215
Seq Accuracy: 11.82936404082701, Loss: 3.9869294255971908
Seq Accuracy: 12.71918345982727, Loss: 3.9634721994400026
Seq Accuracy: 13.504318241298089, Loss: 3.9397762686014177
Seq Accuracy: 15.074587804239728, Loss: 3.9167429327964784
Seq Accuracy: 16.409316932740122, Loss: 3.8943855196237562
Seq Accuracy: 17.456163308034547, Loss: 3.874352690577507
Seq Accuracy: 18.89557707406438, Loss: 3.855001926422119
Seq Accuracy: 19.942423449358806, Loss: 3.8352636635303496
Seq Accuracy: 21.198639099712118, Loss: 3.816621145606041
Seq Accuracy: 22.55953938759487, Loss: 3.7985645651817324
Seq Accuracy: 23.684899241036376, Loss: 3.7822145223617554
Seq Accuracy: 24.62706097880136, Loss: 3.7665539771318435
Seq Accuracy: 25.804763151007588, Loss: 3.751284193992615
Seq Accuracy: 26.511384454331328, Loss: 3.7368997126817702
Seq Accuracy: 27.53205967024339, Loss: 3.7231748551130295
Seq Accuracy: 28.500392567390737, Loss: 3.708942550420761
Seq Accuracy: 29.10232923318503, Loss: 3.696575140953064
Seq Accuracy: 30.123004449097095, Loss: 3.6850830137729647
Seq Accuracy: 30.82962575242083, Loss: 3.673505514860153
Seq Accuracy: 31.640931693274013, Loss: 3.662023675441742
Seq Accuracy: 32.26903951845067, Loss: 3.651551204919815
Seq Accuracy: 32.975660821774404, Loss: 3.6412679076194765
Seq Accuracy: 33.65611096571578, Loss: 3.6315981805324555
Seq Accuracy: 34.179534153362994, Loss: 3.6230419844388964
Seq Accuracy: 34.83381313792201, Loss: 3.6153402000665666
Seq Accuracy: 35.435749803716305, Loss: 3.6086632907390594
Seq Accuracy: 35.72363255692227, Loss: 3.601630100607872
Seq Accuracy: 36.116199947657684, Loss: 3.5946902483701706
Seq Accuracy: 36.24705574456949, Loss: 3.5891054540872576
Seq Accuracy: 36.32556922271657, Loss: 3.5840423822402956
Seq Accuracy: 36.32556922271657, Loss: 3.57973256111145
Seq Accuracy: 36.95367704789322, Loss: 3.5727183550596235
Seq Accuracy: 37.18921748233447, Loss: 3.5664463877677917

Seq Accuracy: 1.805809997382884, Loss: 4.287731689214707
Seq Accuracy: 2.04135043182413, Loss: 4.259254828095436
Seq Accuracy: 2.303062025647736, Loss: 4.225771874189377
Seq Accuracy: 2.6432870976184244, Loss: 4.193262845277786
Seq Accuracy: 3.114367966500916, Loss: 4.162283936142922
Seq Accuracy: 3.8995027479717352, Loss: 4.131297788023948
Seq Accuracy: 4.579952891913112, Loss: 4.103645724058151
Seq Accuracy: 5.417429992148652, Loss: 4.077080222964287
Seq Accuracy: 6.124051295472389, Loss: 4.048875233530998
Seq Accuracy: 6.98769955509029, Loss: 4.024750605225563
Seq Accuracy: 8.270086364825962, Loss: 3.999275180697441
Seq Accuracy: 9.44778853703219, Loss: 3.976848471164703
Seq Accuracy: 10.416121434179534, Loss: 3.9532372891902923
Seq Accuracy: 12.143417953415335, Loss: 3.9324050307273866
Seq Accuracy: 13.268777806856844, Loss: 3.9099496483802794
Seq Accuracy: 14.498822297827793, Loss: 3.8899248391389847
Seq Accuracy: 15.912064904475269, Loss: 3.868942016363144
Seq Accuracy: 17.063595917299136, Loss: 3.8501576334238052
Seq Accuracy: 18.607694320858414, Loss: 3.832670587301254
Seq Accuracy: 19.916252289976445, Loss: 3.8160973697900773
Seq Accuracy: 20.936927505888512, Loss: 3.797945910692215
Seq Accuracy: 22.1408008374771, Loss: 3.781485778093338
Seq Accuracy: 23.187647212771527, Loss: 3.7670668840408323
Seq Accuracy: 24.20832242868359, Loss: 3.752263304591179
Seq Accuracy: 25.883276629154672, Loss: 3.737663522362709
Seq Accuracy: 26.877780685684375, Loss: 3.7235505878925323
Seq Accuracy: 28.029311698508245, Loss: 3.710089758038521
Seq Accuracy: 28.73593300183198, Loss: 3.6984938979148865
Seq Accuracy: 29.285527348861553, Loss: 3.6865572422742843
Seq Accuracy: 29.91363517403821, Loss: 3.6757302582263947
Seq Accuracy: 31.850300968332895, Loss: 3.6473822832107543
Seq Accuracy: 32.63543574980372, Loss: 3.63205149769783
Seq Accuracy: 33.10651661868621, Loss: 3.6248151630163195
Seq Accuracy: 33.499084009421615, Loss: 3.6185927897691728
Seq Accuracy: 34.179534153362994, Loss: 3.607945641875267
Seq Accuracy: 34.545930384716044, Loss: 3.5992014527320864
Seq Accuracy: 34.78147081915729, Loss: 3.595796859264374
Seq Accuracy: 34.85998429730437, Loss: 3.59284702539444
Seq Accuracy: 34.88615545668673, Loss: 3.5902811497449876
Seq Accuracy: 35.0431824129809, Loss: 3.5866557717323304
Seq Accuracy: 35.0431824129809, Loss: 3.5857898980379104

Seq Accuracy: 0.654278984559016, Loss: 4.302793854475022
Seq Accuracy: 1.0730175346767863, Loss: 4.272799319028854
Seq Accuracy: 2.224548547500654, Loss: 4.2044681966304776
Seq Accuracy: 3.376079560324522, Loss: 4.170064207911492
Seq Accuracy: 4.579952891913112, Loss: 4.139941471815109
Seq Accuracy: 5.731483904736979, Loss: 4.110204792022705
Seq Accuracy: 6.647474483119602, Loss: 4.081453046202659
Seq Accuracy: 7.7204920177963885, Loss: 4.054990515112877
Seq Accuracy: 9.421617377649829, Loss: 4.026928997039795
Seq Accuracy: 10.65166186862078, Loss: 4.000578445196152
Seq Accuracy: 12.117246794032976, Loss: 3.9762619107961656
Seq Accuracy: 13.609002878827532, Loss: 3.9525783479213716
Seq Accuracy: 14.73436273226904, Loss: 3.9288239419460296
Seq Accuracy: 16.43548809212248, Loss: 3.9058378458023073
Seq Accuracy: 17.58701910494635, Loss: 3.885854199528694
Seq Accuracy: 18.921748233446742, Loss: 3.8666212171316148
Seq Accuracy: 20.20413504318241, Loss: 3.846132692694664
Seq Accuracy: 21.434179534153362, Loss: 3.827106308937073
Seq Accuracy: 22.847422140800838, Loss: 3.8088175773620607
Seq Accuracy: 24.54854750065428, Loss: 3.7922266989946367
Seq Accuracy: 25.673907354095785, Loss: 3.776197475194931
Seq Accuracy: 26.773096048154933, Loss: 3.7606292337179186
Seq Accuracy: 27.741428945302278, Loss: 3.745938217639923
Seq Accuracy: 28.526563726773094, Loss: 3.7321943581104278
Seq Accuracy: 29.730437058361684, Loss: 3.7180509239435198
Seq Accuracy: 30.3847160429207, Loss: 3.705505093932152
Seq Accuracy: 31.850300968332895, Loss: 3.68231580555439
Seq Accuracy: 32.530751112274274, Loss: 3.671139046549797
Seq Accuracy: 34.02250719706883, Loss: 3.6498844504356383
Seq Accuracy: 34.41507458780424, Loss: 3.640772047638893
Seq Accuracy: 34.88615545668673, Loss: 3.632407993078232
Seq Accuracy: 35.147867050510335, Loss: 3.624900233745575
Seq Accuracy: 35.3048940068045, Loss: 3.6177016258239747
Seq Accuracy: 36.01151531012824, Loss: 3.6050451785326003
Seq Accuracy: 36.29939806333421, Loss: 3.5995680689811707
Seq Accuracy: 36.61345197592253, Loss: 3.5942085683345795
Seq Accuracy: 37.29390211986391, Loss: 3.5802819609642027
Seq Accuracy: 37.39858675739335, Loss: 3.578029489517212
Seq Accuracy: 37.764982988746404, Loss: 3.575550213456154

Seq Accuracy: 0.6019366657942947, Loss: 4.35099747478962
Seq Accuracy: 1.151531012823868, Loss: 4.2847950309515
Seq Accuracy: 1.2562156503533106, Loss: 4.249619901180267
Seq Accuracy: 1.6487830410887203, Loss: 4.216069424152375
Seq Accuracy: 1.9628369536770478, Loss: 4.186301922798156
Seq Accuracy: 2.4339178225595393, Loss: 4.155780777335167
Seq Accuracy: 3.114367966500916, Loss: 4.12666363120079
Seq Accuracy: 3.9256739073540956, Loss: 4.099083814024925
Seq Accuracy: 5.051033760795603, Loss: 4.070521196722984
Seq Accuracy: 6.359591729913635, Loss: 4.043456918001175
Seq Accuracy: 7.5634650615022245, Loss: 4.018639194965362
Seq Accuracy: 8.845851871237896, Loss: 3.993863907456398
Seq Accuracy: 10.573148390473698, Loss: 3.9696450740098954
Seq Accuracy: 12.640669981680189, Loss: 3.9463169395923616
Seq Accuracy: 13.47814708191573, Loss: 3.9256474643945696
Seq Accuracy: 15.022245485475006, Loss: 3.90610748231411
Seq Accuracy: 16.749542004710808, Loss: 3.884984189271927
Seq Accuracy: 18.633865480240775, Loss: 3.865753895044327
Seq Accuracy: 19.942423449358806, Loss: 3.847192308306694
Seq Accuracy: 20.91075634650615, Loss: 3.8303578317165377
Seq Accuracy: 22.036116199947656, Loss: 3.814505362510681
Seq Accuracy: 23.34467416906569, Loss: 3.7987224370241166
Seq Accuracy: 25.04579952891913, Loss: 3.783810293674469
Seq Accuracy: 25.909447788537033, Loss: 3.7699612110853193
Seq Accuracy: 26.825438366919656, Loss: 3.7553702533245086
Seq Accuracy: 27.87228474221408, Loss: 3.742925038933754
Seq Accuracy: 28.68359068306726, Loss: 3.73119934797287
Seq Accuracy: 29.337869667626276, Loss: 3.7196479827165603
Seq Accuracy: 30.75111227427375, Loss: 3.6972874850034714
Seq Accuracy: 31.353048940068046, Loss: 3.68687005341053
Seq Accuracy: 32.37372415598011, Loss: 3.678006312251091
Seq Accuracy: 32.94948966239205, Loss: 3.6688458532094956
Seq Accuracy: 33.55142632818634, Loss: 3.661095517873764
Seq Accuracy: 35.069353572363255, Loss: 3.6396708726882934
Seq Accuracy: 35.802146035069356, Loss: 3.6288613587617875
Seq Accuracy: 36.351740382098924, Loss: 3.620837539434433
Seq Accuracy: 36.84899241036378, Loss: 3.612788900732994

Seq Accuracy: 1.6226118817063595, Loss: 4.270511251688004
Seq Accuracy: 1.8319811567652446, Loss: 4.240687340497971
Seq Accuracy: 2.329233185030097, Loss: 4.206033170223236
Seq Accuracy: 2.7218005757655064, Loss: 4.17327501475811
Seq Accuracy: 3.1405391258832767, Loss: 4.141813141107559
Seq Accuracy: 3.847160429207014, Loss: 4.109721127152443
Seq Accuracy: 4.449097095001308, Loss: 4.081855034828186
Seq Accuracy: 5.600628107825177, Loss: 4.055196860432625
Seq Accuracy: 7.144726511384454, Loss: 4.026705521345138
Seq Accuracy: 8.270086364825962, Loss: 4.002485847473144
Seq Accuracy: 10.206752159120649, Loss: 3.9770317137241364
Seq Accuracy: 11.462967809473959, Loss: 3.9543649584054945
Seq Accuracy: 13.268777806856844, Loss: 3.930764430761337
Seq Accuracy: 15.231614760533892, Loss: 3.909474304318428
Seq Accuracy: 16.90656896100497, Loss: 3.8869338065385817
Seq Accuracy: 18.529180842711334, Loss: 3.8665297240018845
Seq Accuracy: 19.811567652447003, Loss: 3.8456595480442046
Seq Accuracy: 21.408008374771, Loss: 3.826521244645119
Seq Accuracy: 22.690395184506674, Loss: 3.8088095426559447
Seq Accuracy: 24.260664747448313, Loss: 3.792048880457878
Seq Accuracy: 25.726249672860508, Loss: 3.7733305364847185
Seq Accuracy: 26.825438366919656, Loss: 3.756890833377838
Seq Accuracy: 27.9246270609788, Loss: 3.7422610610723495
Seq Accuracy: 29.04998691442031, Loss: 3.7275671303272246
Seq Accuracy: 30.30620256477362, Loss: 3.7131461620330812
Seq Accuracy: 31.14367966500916, Loss: 3.698624524474144
Seq Accuracy: 32.00732792462706, Loss: 3.6853299140930176
Seq Accuracy: 32.63543574980372, Loss: 3.6734680056571962
Seq Accuracy: 33.28971473436273, Loss: 3.6616252183914186
Seq Accuracy: 34.153362993980636, Loss: 3.6507677882909775
Seq Accuracy: 34.67678618162785, Loss: 3.640851008892059
Seq Accuracy: 35.12169589112798, Loss: 3.631559154391289
Seq Accuracy: 35.48809212248103, Loss: 3.6225296705961227
Seq Accuracy: 36.0376864695106, Loss: 3.613860732316971
Seq Accuracy: 36.194713425804764, Loss: 3.6063128888607023
Seq Accuracy: 36.40408270086365, Loss: 3.599414995312691
Seq Accuracy: 36.7704789322167, Loss: 3.5932643115520477

Seq Accuracy: 0.49725202826485215, Loss: 4.337551534175873
Seq Accuracy: 0.5495943470295734, Loss: 4.329980027675629
Seq Accuracy: 0.7589636220884585, Loss: 4.3074525713920595
Seq Accuracy: 1.6226118817063595, Loss: 4.237990936636924
Seq Accuracy: 2.093692750588851, Loss: 4.205171498656273
Seq Accuracy: 2.747971735147867, Loss: 4.173021963238716
Seq Accuracy: 3.2975660821774406, Loss: 4.144651782512665
Seq Accuracy: 4.1612143417953416, Loss: 4.117138370871544
Seq Accuracy: 5.234231876472128, Loss: 4.088436371088028
Seq Accuracy: 6.071708976707668, Loss: 4.063584512472152
Seq Accuracy: 7.327924627060979, Loss: 4.03761080801487
Seq Accuracy: 9.029049986914421, Loss: 4.014040556550026
Seq Accuracy: 10.67783302800314, Loss: 3.9900473833084105
Seq Accuracy: 12.169589112797697, Loss: 3.9692901849746702
Seq Accuracy: 13.47814708191573, Loss: 3.946264722943306
Seq Accuracy: 14.73436273226904, Loss: 3.9259250551462173
Seq Accuracy: 15.755037948181105, Loss: 3.9044131338596344
Seq Accuracy: 17.2206228735933, Loss: 3.8847934663295747
Seq Accuracy: 18.42449620518189, Loss: 3.867271453142166
Seq Accuracy: 19.419000261711595, Loss: 3.8501816362142565
Seq Accuracy: 20.98926982465323, Loss: 3.8318146467208862
Seq Accuracy: 22.297827793771265, Loss: 3.815365719795227
Seq Accuracy: 23.501701125359855, Loss: 3.800724297761917
Seq Accuracy: 24.496205181889557, Loss: 3.7856882929801943
Seq Accuracy: 25.621565035331066, Loss: 3.7712375700473784
Seq Accuracy: 26.903951845066736, Loss: 3.7563899785280226
Seq Accuracy: 27.81994242344936, Loss: 3.7432031989097596
Seq Accuracy: 28.448050248626014, Loss: 3.7313540279865265
Seq Accuracy: 29.12850039256739, Loss: 3.7190634280443193
Seq Accuracy: 29.756608217744045, Loss: 3.708286616206169
Seq Accuracy: 30.35854488353834, Loss: 3.6983846604824064
Seq Accuracy: 31.2483643025386, Loss: 3.680154433846474
Seq Accuracy: 31.95498560586234, Loss: 3.6709245413541796
Seq Accuracy: 32.583093431038996, Loss: 3.6564628720283507
Seq Accuracy: 32.897147343627324, Loss: 3.6493627309799193
Seq Accuracy: 33.15885893745093, Loss: 3.6435091584920882
Seq Accuracy: 33.76079560324522, Loss: 3.6330943256616592
Seq Accuracy: 34.12719183459827, Loss: 3.6289417147636414
Seq Accuracy: 34.231876472127716, Loss: 3.6225515395402907
Seq Accuracy: 34.49358806595132, Loss: 3.617931526899338

